Ration_Card_Number,Head_of_Family,Aadhaar_Number,Family_Members,Card_Type,Address,Village,Taluka,District,State,Pincode,Mobile_Number,Rice_Quota_KG,Wheat_Quota_KG,Sugar_Quota_KG,Kerosene_Quota_L,Registration_Date,Status
RGD2024001,Ramesh Kumar Patil,234567890123,4,BPL,Plot No 12 Near Temple,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543210,20,15,2,3,2023-01-15,Active
RGD2024002,Sunita Devi Sharma,345678901234,5,BPL,House No 45 Main Road,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543211,25,20,2.5,4,2023-01-18,Active
RGD2024003,Prakash Vitthal Jadhav,456789012345,3,APL,Flat 3 Ganesh Nagar,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543212,15,10,1.5,2,2023-02-01,Active
RGD2024004,Laxmi Bai Deshmukh,567890123456,6,AAY,Hut No 7 Ambedkar Colony,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543213,30,25,3,5,2023-02-10,Active
RGD2024005,Suresh Pandurang Kulkarni,678901234567,4,BPL,House No 23 Station Road,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543214,20,15,2,3,2023-02-15,Active
RGD2024006,Mangala Ashok Pawar,789012345678,5,BPL,Plot No 56 Near School,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543215,25,20,2.5,4,2023-03-01,Active
RGD2024007,Ganesh Dattatray Shinde,890123456789,3,APL,House No 89 Market Area,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543216,15,10,1.5,2,2023-03-05,Active
RGD2024008,Savita Mohan Kamble,901234567890,7,AAY,Hut No 12 Gandhi Nagar,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543217,35,30,3.5,6,2023-03-12,Active
RGD2024009,Vijay Shankar Rane,012345678901,4,BPL,Plot No 34 Near Panchayat,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543218,20,15,2,3,2023-03-20,Active
RGD2024010,Anita Rajesh Naik,123456789012,5,BPL,House No 67 Village Center,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543219,25,20,2.5,4,2023-04-01,Active
RGD2024011,Balaji Tukaram More,234567890124,3,APL,Flat 5 Shivaji Nagar,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543220,15,10,1.5,2,2023-04-08,Active
RGD2024012,Rekha Sunil Bhosale,345678901235,6,BPL,House No 78 Near Clinic,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543221,30,25,3,5,2023-04-15,Active
RGD2024013,Santosh Baban Gaikwad,456789012346,4,BPL,Plot No 90 Main Street,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543222,20,15,2,3,2023-04-22,Active
RGD2024014,Vandana Anil Sawant,567890123457,5,AAY,Hut No 15 Nehru Colony,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543223,25,20,2.5,4,2023-05-01,Active
RGD2024015,Mahesh Govind Kale,678901234568,3,APL,House No 101 Bus Stand,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543224,15,10,1.5,2,2023-05-10,Active
RGD2024016,Parvati Dinesh Mane,789012345679,6,BPL,Plot No 112 Near Well,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543225,30,25,3,5,2023-05-18,Active
RGD2024017,Arun Vishnu Patil,890123456780,4,BPL,House No 125 Temple Road,Vashivali,Khalapur,Raigad,Maharashtra,410203,9876543226,20,15,2,3,2023-05-25,Active
